"CATEGORIE","LIBELLE","MOT_DIRECTEUR","STATUT","COMMUNE","RIVOLI","TENANT","ABOUTISSANT","BI_MIN","BP_MIN","BI_MAX","BP_MAX"
"Rue","Rue de Floride","Floride","PUBLIQUE","NANTES","3172","NANTES Rue de la Durantière","NANTES Route de Saint Herblain","1","2","43","50"
"Impasse","Impasse de la Fonderie Balan","Fonderie","PRIVEE","NANTES","3180","NANTES Rue Blanqui","Impasse","","","",""
"Rue","Rue du Pinier","Pinier","PUBLIQUE","BOUAYE","0138","BOUAYE Rue de Nantes","","1","6","37","38"
"Rue","Rue des Aulnes","Aulnes","PUBLIQUE","BOUAYE","0008","BOUAYE Rue du Pinier","","1","2","1","4"
"Place","Place des Erables","Erables","PUBLIQUE","BOUAYE","0041","BOUAYE Rue du Pinier","BOUAYE Rue du Pinier","1","2","3","2"
"Allée","Allée de la Chapelle","Chapelle","PUBLIQUE","BOUAYE","0018","","","1","2","11","18"
"Allée","Allée de Grand-Lieu","Grand-Lieu","PUBLIQUE","BOUAYE","0085","BOUAYE Avenue du Bois","","1","2","11","10"
"Route","Route de la Jouetterie Cresne","Jouetterie","PUBLIQUE","BOUAYE","0156","BOUAYE Route des Sablons","BOUAYE Chemin de la Rive","1","2","51","60"
"Route","Route des Terres Quartières","Terres","PUBLIQUE","BOUAYE","0215","BOUAYE Route des Sablons","BOUAYE VM 11","1","2","51","56"
"Chemin","Chemin de la Mare Potier","Mare","PUBLIQUE","BOUAYE","0158","BOUAYE Route de la Mare Potier","BOUAYE Route de la Tindière","1","2","7","4"
"Impasse","Impasse de la Prètière","Prètière","PRIVEE","BASSE-GOULAINE","0800","BASSE-GOULAINE Rue du Corbon","Impasse","1","2","3","4"
"Rue","Rue René Dumont","Dumont","PRIVEE","NANTES","7819","NANTES Rue René Dumont","NANTES Rue René Dumont","1","2","7","20"
"Boulevard","Boulevard de l'Estuaire","Estuaire","PRIVEE","NANTES","1073","NANTES Boulevard Victor Hugo","","","2","","16"
"Rue","Rue Colombel","Colombel","PUBLIQUE","NANTES","2024","NANTES Rue Fellonneau","NANTES Place Saint Felix","1","2","7","8"
"Allée","Allée Commandant Charcot","Charcot","PUBLIQUE","NANTES","2048","NANTES Boulevard de Stalingrad","NANTES Rue Henri IV","3","2","23","24"
"Passage","Passage du Commerce","Commerce","PRIVEE","NANTES","2089","NANTES Place de la Bourse","","3","2","3","4"
"Rue","Rue de la Commune","Commune","PUBLIQUE","NANTES","2100","NANTES Rue de la Commune","NANTES Place de l'Hôtel de Ville","1","4","5","6"
"Rue","Rue Condorcet","Condorcet","PUBLIQUE","NANTES","2112","NANTES Place de Grillaud","NANTES Rue des Dervallières","1","6","49","68"
